    iter     answer      error     mean x     mean y   variance x   variance y       sd x       sd y
       1   0.000000   0.997300   2.684796   0.398563     0.000000     0.000000   0.000000   0.000000
       2   0.004800   0.992500   1.216243   0.214779     1.078324     0.016888   1.038424   0.129955
       3   0.004800   0.992500   1.348258   0.241185     0.742120     0.012189   0.861464   0.110402
       4   0.009600   0.987700   0.543582   0.193113     2.013474     0.014341   1.418969   0.119755
       5   0.009600   0.987700  -0.051206   0.161984     2.742853     0.014574   1.656156   0.120722
       6   0.009600   0.987700  -0.518736   0.173329     3.196479     0.012681   1.787870   0.112610
       7   0.009600   0.987700  -0.707049   0.194328     2.922213     0.013137   1.709448   0.114618
       8   0.009600   0.987700  -0.969266   0.191817     2.978080     0.011534   1.725711   0.107395
       9   0.009600   0.987700  -0.621746   0.180344     3.505995     0.011188   1.872430   0.105775
      10   0.014400   0.982900  -0.476629   0.170926     3.325972     0.010788   1.823725   0.103864
      11   0.019200   0.978100  -0.425097   0.163438     3.047752     0.010317   1.745781   0.101572
      12   0.019200   0.978100  -0.476874   0.182576     2.820804     0.013151   1.679525   0.114676
      13   0.019200   0.978100  -0.222043   0.191793     3.323139     0.013080   1.822948   0.114368
      14   0.019200   0.978100  -0.008110   0.199995     3.638247     0.012958   1.907419   0.113831
      15   0.019200   0.978100   0.154983   0.203527     3.743265     0.012257   1.934752   0.110711
      16   0.024000   0.973300   0.145635   0.212041     3.510540     0.012510   1.873643   0.111848
      17   0.028800   0.968500   0.159582   0.203384     3.306966     0.012903   1.818507   0.113589
      18   0.028800   0.968500   0.239414   0.205801     3.225571     0.012280   1.795988   0.110813
      19   0.028800   0.968500   0.070301   0.210473     3.543497     0.012005   1.882418   0.109569
      20   0.033600   0.963700   0.092160   0.216249     3.374947     0.012007   1.837103   0.109579
      21   0.033600   0.963700  -0.049040   0.223119     3.593994     0.012335   1.895783   0.111062
      22   0.033600   0.963700  -0.171077   0.219677     3.729168     0.012012   1.931105   0.109597
      23   0.033600   0.963700  -0.037678   0.219785     3.941505     0.011490   1.985322   0.107189
      24   0.033600   0.963700   0.036024   0.224430     3.897005     0.011487   1.974083   0.107175
      25   0.038400   0.958900   0.063789   0.221544     3.758886     0.011219   1.938785   0.105919
      26   0.043200   0.954100  -0.019816   0.214493     3.782338     0.011983   1.944823   0.109465
      27   0.043200   0.954100   0.077119   0.211727     3.877511     0.011730   1.969140   0.108307
      28   0.048000   0.949300   0.085734   0.207978     3.740960     0.011677   1.934156   0.108061
      29   0.052800   0.944500   0.111251   0.203439     3.629565     0.011832   1.905142   0.108774
      30   0.057600   0.939700   0.098071   0.201438     3.513450     0.011550   1.874420   0.107469
      31   0.057600   0.939700   0.142196   0.200079     3.456639     0.011231   1.859204   0.105975
      32   0.062400   0.934900   0.155531   0.202207     3.353959     0.011016   1.831382   0.104955
      33   0.062400   0.934900   0.183662   0.204030     3.276880     0.010785   1.810215   0.103850
      34   0.067200   0.930100   0.143238   0.203775     3.232840     0.010470   1.798010   0.102322
      35   0.067200   0.930100   0.081999   0.207563     3.264337     0.010645   1.806748   0.103173
      36   0.072000   0.925300   0.090602   0.204805     3.176179     0.010608   1.782184   0.102994
      37   0.072000   0.925300   0.027497   0.207360     3.229822     0.010550   1.797170   0.102712
      38   0.076800   0.920500  -0.002692   0.202440     3.177661     0.011144   1.782600   0.105565
      39   0.081600   0.915700   0.001318   0.204349     3.096778     0.010993   1.759766   0.104849
      40   0.081600   0.915700   0.025611   0.207825     3.041801     0.011178   1.744076   0.105726
      41   0.086400   0.910900   0.033707   0.203077     2.970168     0.011785   1.723418   0.108561
      42   0.086400   0.910900  -0.029702   0.202122     3.060370     0.011541   1.749391   0.107430
      43   0.086400   0.910900  -0.018277   0.205777     2.994554     0.011821   1.730478   0.108723
      44   0.091200   0.906100  -0.009385   0.205182     2.929818     0.011567   1.711671   0.107550
      45   0.091200   0.906100  -0.044258   0.206365     2.917029     0.011370   1.707931   0.106631
      46   0.091200   0.906100   0.015366   0.207577     3.010109     0.011188   1.734966   0.105772
      47   0.091200   0.906100   0.044946   0.206893     2.985458     0.010971   1.727848   0.104741
      48   0.091200   0.906100   0.098351   0.203985     3.054517     0.011131   1.747718   0.105504
