    iter     answer      error     mean x     mean y   variance x   variance y       sd x       sd y
       1   0.000000   0.997300  -2.001734   0.272097     0.000000     0.000000   0.000000   0.000000
       2   0.000000   0.997300  -2.288219   0.307154     0.041037     0.000614   0.202576   0.024789
       3   0.004800   0.992500  -1.403850   0.240410     1.070170     0.006349   1.034490   0.079682
       4   0.004800   0.992500  -0.714811   0.227900     1.870869     0.005114   1.367797   0.071513
       5   0.009600   0.987700  -1.023022   0.185075     1.800676     0.009960   1.341893   0.099800
       6   0.014400   0.982900  -0.899184   0.191070     1.564463     0.008450   1.250785   0.091923
       7   0.014400   0.982900  -1.076237   0.211950     1.502187     0.009485   1.225637   0.097390
       8   0.019200   0.978100  -1.185494   0.185868     1.387528     0.012466   1.177934   0.111652
       9   0.024000   0.973300  -1.155005   0.174756     1.239968     0.011959   1.113539   0.109357
      10   0.028800   0.968500  -0.820049   0.157841     2.024754     0.013081   1.422938   0.114370
      11   0.033600   0.963700  -0.712865   0.158544     1.945127     0.011896   1.394678   0.109068
      12   0.038400   0.958900  -0.549447   0.159571     2.052311     0.010915   1.432589   0.104476
      13   0.043200   0.954100  -0.480213   0.176053     1.947537     0.013085   1.395542   0.114388
      14   0.043200   0.954100  -0.635896   0.182590     2.101006     0.012666   1.449485   0.112543
      15   0.048000   0.949300  -0.595680   0.186103     1.982072     0.011983   1.407861   0.109466
      16   0.048000   0.949300  -0.629741   0.196213     1.874507     0.012671   1.369126   0.112567
      17   0.048000   0.949300  -0.466061   0.206404     2.167684     0.013490   1.472306   0.116145
      18   0.048000   0.949300  -0.282659   0.197233     2.587308     0.014091   1.608511   0.118704
      19   0.048000   0.949300  -0.114414   0.191567     2.933829     0.013896   1.712842   0.117883
      20   0.048000   0.949300  -0.052750   0.200384     2.855771     0.014605   1.689903   0.120850
      21   0.052800   0.944500  -0.092934   0.200097     2.750539     0.013911   1.658475   0.117944
      22   0.052800   0.944500  -0.193128   0.197265     2.826746     0.013439   1.681293   0.115928
      23   0.052800   0.944500  -0.059278   0.198470     3.080856     0.012885   1.755237   0.113514
      24   0.057600   0.939700  -0.002312   0.196323     3.024015     0.012450   1.738969   0.111580
      25   0.062400   0.934900  -0.023028   0.192097     2.912942     0.012364   1.706734   0.111192
      26   0.062400   0.934900   0.015189   0.197291     2.836015     0.012537   1.684047   0.111967
      27   0.067200   0.930100  -0.011900   0.190529     2.749349     0.013217   1.658116   0.114965
      28   0.067200   0.930100  -0.052431   0.195661     2.693930     0.013431   1.641320   0.115891
