    iter     answer      error     mean x     mean y   variance x   variance y       sd x       sd y
       1   0.004800   0.992500  -0.911580   0.021534     0.000000     0.000000   0.000000   0.000000
       2   0.004800   0.992500  -1.615117   0.188537     0.247482     0.013945   0.497476   0.118089
       3   0.009600   0.987700  -0.351759   0.135856     2.293085     0.012997   1.514294   0.114005
       4   0.014400   0.982900  -0.763442   0.109215     2.101151     0.011345   1.449535   0.106511
       5   0.014400   0.982900  -0.247857   0.164079     2.531570     0.018708   1.591091   0.136776
       6   0.019200   0.978100  -0.434835   0.161714     2.255312     0.015613   1.501770   0.124952
       7   0.024000   0.973300  -0.274980   0.153720     2.064543     0.013711   1.436852   0.117095
       8   0.028800   0.968500  -0.397955   0.137556     1.899102     0.013598   1.378079   0.116609
       9   0.033600   0.963700  -0.338758   0.147976     1.713011     0.012859   1.308820   0.113397
      10   0.033600   0.963700  -0.058837   0.147352     2.176390     0.011576   1.475259   0.107593
      11   0.033600   0.963700   0.114380   0.167370     2.251301     0.014166   1.500434   0.119023
      12   0.038400   0.958900   0.131553   0.153458     2.066667     0.014937   1.437591   0.122218
      13   0.038400   0.958900   0.014486   0.155394     2.059499     0.013830   1.435096   0.117600
      14   0.043200   0.954100  -0.068729   0.149064     1.995984     0.013326   1.412793   0.115437
      15   0.048000   0.949300   0.025163   0.147138     1.978109     0.012486   1.406453   0.111739
      16   0.048000   0.949300  -0.047475   0.151829     1.928674     0.012015   1.388767   0.109612
      17   0.048000   0.949300   0.102652   0.162764     2.154622     0.013109   1.467863   0.114493
      18   0.052800   0.944500   0.048899   0.160929     2.081311     0.012434   1.442675   0.111510
      19   0.052800   0.944500  -0.051581   0.173319     2.143939     0.014397   1.464220   0.119989
      20   0.052800   0.944500   0.075699   0.173693     2.329157     0.013680   1.526158   0.116962
      21   0.052800   0.944500   0.206935   0.173673     2.546301     0.013029   1.595713   0.114143
      22   0.052800   0.944500   0.282806   0.179470     2.545948     0.013110   1.595603   0.114499
      23   0.052800   0.944500   0.366078   0.180242     2.581175     0.012553   1.606604   0.112038
      24   0.057600   0.939700   0.352324   0.184077     2.477796     0.012354   1.574102   0.111147
      25   0.057600   0.939700   0.405844   0.186562     2.444678     0.012002   1.563547   0.109553
      26   0.057600   0.939700   0.318310   0.193977     2.534839     0.012862   1.592118   0.113411
      27   0.057600   0.939700   0.370532   0.197555     2.509236     0.012706   1.584057   0.112721
      28   0.057600   0.939700   0.334800   0.202393     2.452861     0.012862   1.566161   0.113409
      29   0.062400   0.934900   0.305267   0.203741     2.391859     0.012467   1.546564   0.111657
      30   0.062400   0.934900   0.346768   0.209144     2.360415     0.012870   1.536364   0.113445
      31   0.062400   0.934900   0.412784   0.210144     2.410796     0.012484   1.552674   0.111731
      32   0.062400   0.934900   0.486477   0.208988     2.498547     0.012134   1.580679   0.110154
      33   0.067200   0.930100   0.452324   0.207663     2.459027     0.011821   1.568129   0.108722
      34   0.072000   0.925300   0.476194   0.202690     2.404952     0.012265   1.550791   0.110748
      35   0.072000   0.925300   0.378019   0.206560     2.654576     0.012409   1.629287   0.111397
      36   0.076800   0.920500   0.388588   0.206013     2.584639     0.012075   1.607681   0.109885
      37   0.076800   0.920500   0.330816   0.207802     2.631690     0.011861   1.622248   0.108906
      38   0.076800   0.920500   0.272763   0.208782     2.683848     0.011583   1.638246   0.107625
      39   0.076800   0.920500   0.336605   0.212556     2.765943     0.011813   1.663112   0.108689
      40   0.076800   0.920500   0.397915   0.212079     2.839726     0.011527   1.685149   0.107362
      41   0.076800   0.920500   0.399125   0.216386     2.770521     0.011969   1.664488   0.109404
      42   0.076800   0.920500   0.415287   0.219020     2.715010     0.011962   1.647729   0.109371
      43   0.076800   0.920500   0.349056   0.216917     2.831817     0.011865   1.682800   0.108928
      44   0.076800   0.920500   0.284857   0.214022     2.940658     0.011948   1.714835   0.109306
      45   0.081600   0.915700   0.261247   0.215193     2.899292     0.011741   1.702731   0.108357
      46   0.081600   0.915700   0.307035   0.212283     2.928557     0.011859   1.711303   0.108897
      47   0.086400   0.910900   0.324622   0.208355     2.880172     0.012301   1.697107   0.110910
      48   0.086400   0.910900   0.286932   0.206835     2.885541     0.012151   1.698688   0.110231
      49   0.086400   0.910900   0.242810   0.207429     2.918189     0.011920   1.708271   0.109177
      50   0.086400   0.910900   0.189124   0.210568     2.998230     0.012154   1.731540   0.110247
      51   0.086400   0.910900   0.239736   0.207134     3.065008     0.012494   1.750716   0.111777
      52   0.086400   0.910900   0.200540   0.206834     3.082912     0.012258   1.755822   0.110717
      53   0.091200   0.906100   0.160200   0.202940     3.107767     0.012800   1.762886   0.113139
      54   0.096000   0.901300   0.181746   0.199802     3.074365     0.013076   1.753387   0.114349
      55   0.096000   0.901300   0.202634   0.200266     3.041600     0.012849   1.744018   0.113355
      56   0.100800   0.896500   0.199569   0.199391     2.987793     0.012661   1.728524   0.112522
      57   0.100800   0.896500   0.157007   0.198218     3.035042     0.012515   1.742137   0.111869
      58   0.100800   0.896500   0.106384   0.200991     3.126268     0.012730   1.768126   0.112826
      59   0.105600   0.891700   0.103109   0.200288     3.073892     0.012542   1.753252   0.111992
      60   0.105600   0.891700   0.084187   0.202166     3.043434     0.012538   1.744544   0.111972
      61   0.105600   0.891700   0.045713   0.202548     3.080901     0.012341   1.755250   0.111089
      62   0.110400   0.886900   0.070176   0.199865     3.067127     0.012574   1.751322   0.112133
      63   0.110400   0.886900   0.042515   0.198533     3.065130     0.012482   1.750751   0.111725
      64   0.110400   0.886900  -0.003846   0.198604     3.150528     0.012288   1.774973   0.110850
      65   0.115200   0.882100   0.010914   0.197220     3.115787     0.012219   1.765159   0.110541
      66   0.120000   0.877300   0.002461   0.195184     3.073153     0.012300   1.753041   0.110904
      67   0.120000   0.877300   0.046773   0.196767     3.154948     0.012279   1.776217   0.110810
      68   0.120000   0.877300   0.066217   0.196424     3.133511     0.012106   1.770173   0.110028
      69   0.124800   0.872500   0.080688   0.196378     3.102130     0.011931   1.761287   0.109228
      70   0.124800   0.872500   0.116942   0.196116     3.147208     0.011765   1.774037   0.108467
      71   0.124800   0.872500   0.090608   0.195157     3.150741     0.011663   1.775033   0.107994
      72   0.129600   0.867700   0.084585   0.196668     3.109521     0.011661   1.763383   0.107984
      73   0.129600   0.867700   0.056490   0.196328     3.122977     0.011509   1.767195   0.107280
      74   0.129600   0.867700   0.072962   0.198376     3.100314     0.011655   1.760771   0.107960
      75   0.134400   0.862900   0.082097   0.198019     3.065069     0.011509   1.750734   0.107281
      76   0.139200   0.858100   0.066339   0.195496     3.043118     0.011829   1.744454   0.108760
      77   0.139200   0.858100   0.095179   0.196463     3.065990     0.011745   1.750997   0.108375
      78   0.144000   0.853300   0.089882   0.195699     3.028816     0.011639   1.740349   0.107884
      79   0.148800   0.848500   0.087431   0.195329     2.990939     0.011502   1.729433   0.107248
      80   0.153600   0.843700   0.086912   0.197613     2.953573     0.011766   1.718596   0.108469
      81   0.153600   0.843700   0.115957   0.199896     2.983764     0.012032   1.727358   0.109690
      82   0.158400   0.838900   0.114482   0.199096     2.947551     0.011936   1.716843   0.109254
      83   0.163200   0.834100   0.090281   0.196857     2.959486     0.012199   1.720316   0.110448
      84   0.163200   0.834100   0.101423   0.197754     2.934434     0.012120   1.713019   0.110089
      85   0.163200   0.834100   0.133765   0.196783     2.986745     0.012055   1.728220   0.109796
      86   0.163200   0.834100   0.147053   0.198628     2.966848     0.012201   1.722454   0.110458
      87   0.168000   0.829300   0.137877   0.196878     2.939905     0.012321   1.714615   0.111001
      88   0.168000   0.829300   0.112912   0.198416     2.960101     0.012384   1.720494   0.111286
      89   0.172800   0.824500   0.115494   0.199936     2.927421     0.012447   1.710971   0.111564
      90   0.172800   0.824500   0.146353   0.200733     2.978710     0.012364   1.725894   0.111194
      91   0.172800   0.824500   0.173068   0.202317     3.009500     0.012451   1.734791   0.111586
      92   0.172800   0.824500   0.198415   0.202722     3.034616     0.012331   1.742015   0.111045
      93   0.172800   0.824500   0.169958   0.202880     3.075684     0.012201   1.753763   0.110456
      94   0.177600   0.819700   0.156945   0.201408     3.058545     0.012270   1.748870   0.110772
      95   0.177600   0.819700   0.184735   0.202190     3.098183     0.012198   1.760166   0.110445
      96   0.177600   0.819700   0.160786   0.202711     3.119832     0.012097   1.766305   0.109985
      97   0.177600   0.819700   0.136089   0.204095     3.145621     0.012154   1.773590   0.110245
      98   0.177600   0.819700   0.105775   0.202494     3.201748     0.012276   1.789343   0.110797
      99   0.177600   0.819700   0.075225   0.203659     3.259948     0.012284   1.805533   0.110832
     100   0.182400   0.814900   0.064364   0.202842     3.238910     0.012226   1.799697   0.110573
     101   0.182400   0.814900   0.084647   0.203340     3.247575     0.012130   1.802103   0.110136
     102   0.182400   0.814900   0.102738   0.202162     3.248468     0.012150   1.802351   0.110227
     103   0.187200   0.810100   0.106990   0.203039     3.218755     0.012110   1.794089   0.110045
     104   0.187200   0.810100   0.084690   0.201810     3.238530     0.012148   1.799592   0.110216
     105   0.187200   0.810100   0.069224   0.202942     3.232328     0.012164   1.797868   0.110290
     106   0.187200   0.810100   0.084491   0.203854     3.226075     0.012136   1.796128   0.110161
     107   0.192000   0.805300   0.080678   0.202991     3.197451     0.012100   1.788142   0.110001
     108   0.196800   0.800500   0.073894   0.201216     3.172724     0.012322   1.781214   0.111006
     109   0.196800   0.800500   0.096345   0.200930     3.197554     0.012218   1.788171   0.110535
     110   0.196800   0.800500   0.114386   0.201412     3.203639     0.012132   1.789871   0.110145
     111   0.196800   0.800500   0.106037   0.202245     3.182377     0.012098   1.783922   0.109992
     112   0.196800   0.800500   0.085387   0.201517     3.200871     0.012049   1.789098   0.109767
     113   0.196800   0.800500   0.101904   0.201944     3.202828     0.011962   1.789645   0.109372
     114   0.201600   0.795700   0.101375   0.203462     3.174764     0.012115   1.781787   0.110070
     115   0.201600   0.795700   0.080445   0.203117     3.196664     0.012024   1.787922   0.109652
     116   0.206400   0.790900   0.075602   0.203694     3.171780     0.011958   1.780949   0.109353
     117   0.211200   0.786100   0.078449   0.202954     3.145603     0.011919   1.773585   0.109173
     118   0.216000   0.781300   0.092693   0.201644     3.142482     0.012017   1.772705   0.109622
     119   0.216000   0.781300   0.069568   0.201905     3.178647     0.011924   1.782876   0.109197
     120   0.216000   0.781300   0.057082   0.203064     3.170557     0.011983   1.780606   0.109467
     121   0.216000   0.781300   0.041434   0.203821     3.173494     0.011952   1.781430   0.109326
     122   0.216000   0.781300   0.063320   0.205095     3.204968     0.012049   1.790242   0.109768
     123   0.220800   0.776500   0.053336   0.203989     3.190976     0.012099   1.786330   0.109995
     124   0.220800   0.776500   0.036163   0.204084     3.201220     0.012002   1.789195   0.109555
     125   0.220800   0.776500   0.057058   0.202661     3.229313     0.012156   1.797029   0.110252
     126   0.225600   0.771700   0.043495   0.201110     3.226495     0.012357   1.796245   0.111163
     127   0.225600   0.771700   0.051502   0.202512     3.209104     0.012506   1.791397   0.111828
     128   0.225600   0.771700   0.040465   0.202451     3.199383     0.012408   1.788682   0.111393
     129   0.225600   0.771700   0.023990   0.203475     3.209057     0.012445   1.791384   0.111559
     130   0.225600   0.771700   0.016063   0.204972     3.192414     0.012637   1.786733   0.112413
     131   0.230400   0.766900   0.012053   0.204715     3.170119     0.012549   1.780483   0.112021
     132   0.230400   0.766900   0.001407   0.205264     3.160839     0.012493   1.777875   0.111771
     133   0.235200   0.762100   0.012940   0.204247     3.154498     0.012534   1.776091   0.111958
     134   0.235200   0.762100  -0.008102   0.203410     3.189407     0.012533   1.785891   0.111952
     135   0.235200   0.762100  -0.015206   0.203816     3.172494     0.012462   1.781150   0.111635
     136   0.235200   0.762100  -0.036638   0.204534     3.210716     0.012440   1.791847   0.111534
     137   0.235200   0.762100  -0.018416   0.204965     3.232109     0.012374   1.797807   0.111239
     138   0.240000   0.757300  -0.009196   0.204011     3.220247     0.012408   1.794505   0.111392
     139   0.240000   0.757300   0.008093   0.202767     3.238036     0.012531   1.799454   0.111942
     140   0.244800   0.752500   0.011065   0.201354     3.216126     0.012717   1.793356   0.112770
     141   0.249600   0.747700   0.010761   0.200612     3.193329     0.012703   1.786989   0.112709
     142   0.249600   0.747700  -0.007389   0.199862     3.216962     0.012693   1.793589   0.112662
     143   0.254400   0.742900   0.000697   0.199702     3.203684     0.012608   1.789884   0.112283
     144   0.254400   0.742900  -0.013604   0.199369     3.210478     0.012536   1.791781   0.111963
     145   0.254400   0.742900   0.004043   0.199108     3.232873     0.012459   1.798019   0.111620
     146   0.254400   0.742900   0.021176   0.199953     3.252999     0.012477   1.803607   0.111699
     147   0.254400   0.742900   0.032123   0.200048     3.248246     0.012393   1.802289   0.111324
     148   0.254400   0.742900   0.018400   0.200878     3.253794     0.012410   1.803828   0.111400
     149   0.254400   0.742900   0.029143   0.201809     3.248925     0.012454   1.802477   0.111598
     150   0.259200   0.738100   0.020786   0.201089     3.237603     0.012448   1.799334   0.111570
     151   0.259200   0.738100   0.004466   0.200023     3.255848     0.012535   1.804397   0.111959
     152   0.259200   0.738100  -0.011159   0.199019     3.271052     0.012604   1.808605   0.112266
     153   0.264000   0.733300  -0.010206   0.199045     3.249810     0.012521   1.802723   0.111899
     154   0.264000   0.733300   0.002754   0.199804     3.254239     0.012528   1.803951   0.111927
     155   0.268800   0.728500   0.000178   0.200244     3.234259     0.012477   1.798405   0.111698
     156   0.268800   0.728500  -0.008760   0.201497     3.225831     0.012638   1.796060   0.112420
